epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,7813.35,0.92707,0.43981,0.91396,0.98949,0.99,0.99355,0.67989,1.05327,0.38056,0.8318,6.07e-05,6.07e-05,6.07e-05
133,7872.69,0.92414,0.43523,0.91077,0.98749,0.99143,0.99358,0.68053,1.05187,0.37979,0.83128,6.04e-05,6.04e-05,6.04e-05
134,7931.97,0.92285,0.43689,0.91194,0.98811,0.99187,0.99362,0.68213,1.05053,0.37955,0.8309,6.01e-05,6.01e-05,6.01e-05
135,7991.3,0.91874,0.43541,0.90766,0.98784,0.99242,0.99361,0.6824,1.04834,0.37823,0.8304,5.98e-05,5.98e-05,5.98e-05
136,8050.61,0.91253,0.42899,0.90831,0.98732,0.9919,0.99361,0.68235,1.04677,0.37848,0.82996,5.95e-05,5.95e-05,5.95e-05
137,8109.7,0.91494,0.4305,0.90805,0.98792,0.99126,0.99362,0.68304,1.04553,0.37803,0.82943,5.92e-05,5.92e-05,5.92e-05
138,8168.83,0.91235,0.42918,0.90914,0.9879,0.99117,0.99365,0.6839,1.04473,0.37753,0.82909,5.89e-05,5.89e-05,5.89e-05
139,8228.13,0.90609,0.42833,0.90797,0.99042,0.98847,0.99364,0.68489,1.04299,0.37673,0.82859,5.86e-05,5.86e-05,5.86e-05
140,8287.46,0.90177,0.4255,0.90497,0.9882,0.99183,0.99366,0.68511,1.04183,0.37642,0.82835,5.83e-05,5.83e-05,5.83e-05
141,8346.79,0.90573,0.43126,0.90444,0.9882,0.99207,0.99366,0.68554,1.03994,0.37581,0.82788,5.8e-05,5.8e-05,5.8e-05
142,8406.04,0.89617,0.42592,0.90302,0.9881,0.99216,0.99367,0.68618,1.0383,0.37502,0.82752,5.77e-05,5.77e-05,5.77e-05
143,8465.24,0.89579,0.42637,0.90664,0.98803,0.99239,0.99367,0.68731,1.03674,0.37454,0.82712,5.74e-05,5.74e-05,5.74e-05
144,8524.4,0.90003,0.426,0.90435,0.98839,0.99206,0.99368,0.68782,1.03521,0.37415,0.82684,5.71e-05,5.71e-05,5.71e-05
145,8583.67,0.89369,0.4278,0.90261,0.98833,0.99238,0.99369,0.6885,1.03408,0.37378,0.8266,5.68e-05,5.68e-05,5.68e-05
146,8642.89,0.88584,0.41753,0.90323,0.98836,0.99242,0.99368,0.6882,1.03307,0.37314,0.82629,5.65e-05,5.65e-05,5.65e-05
147,8702.17,0.89409,0.42973,0.90435,0.98833,0.9932,0.99368,0.68962,1.03272,0.37256,0.82607,5.62e-05,5.62e-05,5.62e-05
148,8761.46,0.88394,0.41443,0.90196,0.98792,0.99323,0.99366,0.68931,1.03195,0.37277,0.82592,5.59e-05,5.59e-05,5.59e-05
149,8820.73,0.88184,0.41905,0.90117,0.98787,0.99331,0.99365,0.68946,1.03082,0.3729,0.82562,5.56e-05,5.56e-05,5.56e-05
150,8880.11,0.88552,0.41952,0.89961,0.98792,0.9933,0.99363,0.69033,1.02973,0.37208,0.82514,5.53e-05,5.53e-05,5.53e-05
151,8939.18,0.88531,0.42092,0.90457,0.98798,0.9932,0.99364,0.69011,1.02868,0.37212,0.82487,5.5e-05,5.5e-05,5.5e-05
152,8998.24,0.87103,0.41329,0.89848,0.98795,0.99304,0.99364,0.69134,1.02772,0.37221,0.82465,5.47e-05,5.47e-05,5.47e-05
153,9057.35,0.86845,0.41306,0.89923,0.98785,0.99347,0.99365,0.6915,1.02629,0.37095,0.82422,5.44e-05,5.44e-05,5.44e-05
154,9116.55,0.87441,0.41321,0.89869,0.98834,0.9931,0.99368,0.69159,1.02491,0.37128,0.82391,5.41e-05,5.41e-05,5.41e-05
155,9175.67,0.87433,0.41517,0.89788,0.9884,0.99318,0.99367,0.69341,1.02407,0.37027,0.82362,5.38e-05,5.38e-05,5.38e-05
156,9234.73,0.87096,0.41508,0.89707,0.98811,0.99255,0.99368,0.69376,1.02272,0.36943,0.82328,5.35e-05,5.35e-05,5.35e-05
157,9294.21,0.86317,0.40876,0.89662,0.98813,0.99269,0.99369,0.69517,1.02178,0.36874,0.82289,5.32e-05,5.32e-05,5.32e-05
158,9353.3,0.87038,0.41825,0.89757,0.98814,0.99261,0.99367,0.69541,1.02063,0.36813,0.82268,5.29e-05,5.29e-05,5.29e-05
